"uf","legenda","descricao","count","sum"
"MS","GNM","Campo Não Manejado",6099,2097746.1816
"MT","GNM","Campo Não Manejado",2805,657959.8438000007
"PA","GNM","Campo Não Manejado",1412,246150.62990000012
"PI","GNM","Campo Não Manejado",171,188910.83219999998
"PR","GNM","Campo Não Manejado",6844,115557.68559999994
"RO","GNM","Campo Não Manejado",32,7871.759999999999
"RR","GNM","Campo Não Manejado",1409,457379.1860000001
"RS","GNM","Campo Não Manejado",27561,2616438.308300008
"SC","GNM","Campo Não Manejado",5226,712551.2048000012
"SE","GNM","Campo Não Manejado",6,8.1759
"SP","GNM","Campo Não Manejado",956,32963.30189999999
"TO","GNM","Campo Não Manejado",1335,314555.87569999986
"AC","Min","Mineração",9,62.5703
"AL","Min","Mineração",24,313.29179999999997
"AM","Min","Mineração",1030,8925.7629
"AP","Min","Mineração",501,4624.0657
"BA","Min","Mineração",524,13236.977200000001
"CE","Min","Mineração",340,6418.945899999999
"DF","Min","Mineração",64,797.0022999999999
"ES","Min","Mineração",189,3416.1966
"GO","Min","Mineração",487,11423.161800000002
"MA","Min","Mineração",540,5885.8765
"MG","Min","Mineração",2361,57764.196399999986
"MS","Min","Mineração",174,2677.1647000000003
"MT","Min","Mineração",5650,47530.40669999999
"PA","Min","Mineração",11119,101953.50769999993
"PB","Min","Mineração",57,843.5775
"PE","Min","Mineração",162,2874.4009
"PI","Min","Mineração",101,1132.2353000000003
"PR","Min","Mineração",567,8399.051800000001
"RJ","Min","Mineração",214,4865.3255
"RN","Min","Mineração",1354,57218.55049999999
"RO","Min","Mineração",1199,18776.2379
"RR","Min","Mineração",25,217.0097
"RS","Min","Mineração",376,5683.0307999999995
"SC","Min","Mineração",268,4131.321499999999
"SE","Min","Mineração",72,4466.472000000001
"SP","Min","Mineração",1123,19087.869300000006
"TO","Min","Mineração",147,1692.0903999999996
"AC","NO","Não observado",10,178.20069999999998
"AM","NO","Não observado",469,9139.918300000001
"AP","NO","Não observado",477,7540.577399999999
"BA","NO","Não observado",1478,36077.995899999994
"CE","NO","Não observado",824,10453.169499999996
"MA","NO","Não observado",406,4762.598099999999
"PA","NO","Não observado",2960,50439.78179999998
"PB","NO","Não observado",52,540.2548999999999
"PE","NO","Não observado",42,1407.9601
"RN","NO","Não observado",629,8860.393100000003
"RR","NO","Não observado",193,11795.046799999998
"AM","OFLM","Outras formações lenhosas manejadas",3678,846658.3650000002
"AP","OFLM","Outras formações lenhosas manejadas",1206,67114.98700000002
"BA","OFLM","Outras formações lenhosas manejadas",1851,572063.3665999997
"CE","OFLM","Outras formações lenhosas manejadas",229,46602.590699999986
"DF","OFLM","Outras formações lenhosas manejadas",958,108600.10840000004
"ES","OFLM","Outras formações lenhosas manejadas",1,4048.4637
"GO","OFLM","Outras formações lenhosas manejadas",1170,611114.8297999997
"MA","OFLM","Outras formações lenhosas manejadas",2758,675200.6315
"MG","OFLM","Outras formações lenhosas manejadas",614,197309.6506
"MS","OFLM","Outras formações lenhosas manejadas",923,80070.90350000004
"MT","OFLM","Outras formações lenhosas manejadas",1828,2152208.8674
"PA","OFLM","Outras formações lenhosas manejadas",5023,1417504.3795999966
"PE","OFLM","Outras formações lenhosas manejadas",134,8753.891499999998
"PI","OFLM","Outras formações lenhosas manejadas",1683,149045.2778999998
"PR","OFLM","Outras formações lenhosas manejadas",26,2393.6067
"RJ","OFLM","Outras formações lenhosas manejadas",7,6962.629
"RN","OFLM","Outras formações lenhosas manejadas",1,1.114
"RO","OFLM","Outras formações lenhosas manejadas",176,248769.22650000002
"RR","OFLM","Outras formações lenhosas manejadas",4143,1040623.2295999998
"RS","OFLM","Outras formações lenhosas manejadas",13,1229.1535
"SC","OFLM","Outras formações lenhosas manejadas",13,7.2471
"SE","OFLM","Outras formações lenhosas manejadas",19,2741.4909000000002
"SP","OFLM","Outras formações lenhosas manejadas",83,19756.826200000003
"TO","OFLM","Outras formações lenhosas manejadas",1467,2392449.8698000005
"AM","OFLNM","Outras formações lenhosas não manejadas",4107,1008733.9106000003
"AP","OFLNM","Outras formações lenhosas não manejadas",12311,526005.7037999999
"BA","OFLNM","Outras formações lenhosas não manejadas",5586,1835891.1940999995
"CE","OFLNM","Outras formações lenhosas não manejadas",3940,472512.8031999997
"DF","OFLNM","Outras formações lenhosas não manejadas",453,1754.0781000000002
"GO","OFLNM","Outras formações lenhosas não manejadas",22492,2306814.1448
"MA","OFLNM","Outras formações lenhosas não manejadas",7079,2906218.9414000055
"MG","OFLNM","Outras formações lenhosas não manejadas",9521,1065725.2634000024
"MS","OFLNM","Outras formações lenhosas não manejadas",22688,3228198.4665999995
"MT","OFLNM","Outras formações lenhosas não manejadas",23715,4181586.5103999963
"PA","OFLNM","Outras formações lenhosas não manejadas",3809,538557.35
"PB","OFLNM","Outras formações lenhosas não manejadas",821,96383.99120000005
"PE","OFLNM","Outras formações lenhosas não manejadas",1152,242059.3837000003
"PI","OFLNM","Outras formações lenhosas não manejadas",2622,1319659.1311000008
"PR","OFLNM","Outras formações lenhosas não manejadas",72,1495.1938
"RJ","OFLNM","Outras formações lenhosas não manejadas",2,29.929100000000002
"RN","OFLNM","Outras formações lenhosas não manejadas",2840,412647.9975
"RO","OFLNM","Outras formações lenhosas não manejadas",330,120368.81640000007
"RR","OFLNM","Outras formações lenhosas não manejadas",3769,752446.377199999
"RS","OFLNM","Outras formações lenhosas não manejadas",64,9806.546100000001
"SC","OFLNM","Outras formações lenhosas não manejadas",22,3000.2407000000003
"SE","OFLNM","Outras formações lenhosas não manejadas",71,390.0957
"SP","OFLNM","Outras formações lenhosas não manejadas",800,40558.64260000001
"TO","OFLNM","Outras formações lenhosas não manejadas",6204,3026176.940900003
"AL","OFLSec","Outras formações lenhosas secundárias",1,0.5202
"AM","OFLSec","Outras formações lenhosas secundárias",3977,27833.01110000001
"AP","OFLSec","Outras formações lenhosas secundárias",2332,37369.32349999996
"BA","OFLSec","Outras formações lenhosas secundárias",8310,174307.2291
"CE","OFLSec","Outras formações lenhosas secundárias",5625,92113.35460000005
"DF","OFLSec","Outras formações lenhosas secundárias",449,5648.9498
"GO","OFLSec","Outras formações lenhosas secundárias",9140,142130.51030000008
"MA","OFLSec","Outras formações lenhosas secundárias",6978,114591.09689999992
"MG","OFLSec","Outras formações lenhosas secundárias",3374,88300.3103
"MS","OFLSec","Outras formações lenhosas secundárias",4143,87398.38630000001
"MT","OFLSec","Outras formações lenhosas secundárias",12780,229767.60749999998
"PA","OFLSec","Outras formações lenhosas secundárias",9466,74929.71109999999
"PB","OFLSec","Outras formações lenhosas secundárias",1247,24408.97849999998
"PE","OFLSec","Outras formações lenhosas secundárias",2515,39756.88269999994
"PI","OFLSec","Outras formações lenhosas secundárias",12018,167281.70170000038
"PR","OFLSec","Outras formações lenhosas secundárias",52,732.2548
"RJ","OFLSec","Outras formações lenhosas secundárias",1,11.2448
"RN","OFLSec","Outras formações lenhosas secundárias",4919,79220.27650000005
"RO","OFLSec","Outras formações lenhosas secundárias",581,5096.1151
